keys,en,zh_CN,fr,ja,ko,es
CUSTOM_RUN_PARAMETER_POTION_MATCHER,Potion matcher,药水匹配器,Filtre de potions,ポーション照合,포션 일치 조건,Filtro de pociones
CUSTOM_RUN_PARAMETER_POWER_MATCHER,Power matcher,能力匹配器,Filtre de pouvoirs,パワー照合,파워 일치 조건,Filtro de poderes
CUSTOM_RUN_PARAMETER_MONSTER_MATCHER,Monster matcher,怪物匹配器,Filtre de monstres,モンスター照合,몬스터 일치 조건,Filtro de monstruos
CUSTOM_RUN_PARAMETER_SELECTION,Selection,选择,Sélection,選択,선택,Selección
CUSTOM_RUN_PARAMETER_NUMBER,Number,数量,Nombre,数,수,Número
CUSTOM_RUN_PARAMETER_AT_LEAST_THIS_MANY,At least this many,至少此数量,Au moins ce nombre,最低この数,최소 이 수,Cantidad mínima
CUSTOM_RUN_PARAMETER_CHOICE_CAN_BE_SKIPPED,Choice can be skipped,可跳过选择,Le choix peut être ignoré,選択をスキップ可能,선택 건너뛰기 가능,La elección se puede omitir
CUSTOM_RUN_PARAMETER_COMPARISON,Comparison,比较,Comparaison,比較,비교,Comparación
CUSTOM_RUN_PARAMETER_LEFT_VALUE,Left Value,左值,Valeur gauche,左の値,왼쪽 값,Valor izquierdo
CUSTOM_RUN_PARAMETER_RIGHT_VALUE,Right Value,右值,Valeur droite,右の値,오른쪽 값,Valor derecho
CUSTOM_RUN_PARAMETER_VALUE,Value,值,Valeur,値,값,Valor
CUSTOM_RUN_VALUE,Value,值,Valeur,値,값,Valor
CUSTOM_RUN_PARAMETER_PERCENT,Percent,百分比,Pourcentage,パーセント,백분율,Porcentaje
CUSTOM_RUN_PARAMETER_PLAYER_SLOT,Player Slot,玩家栏位,Emplacement du joueur,プレイヤースロット,플레이어 슬롯,Ranura de jugador
CUSTOM_RUN_PARAMETER_ROLE,Role,职责,Rôle,ロール,역할,Rol
CUSTOM_RUN_OPTION_RANDOM,Random matches,随机匹配,Correspondances aléatoires,ランダムに一致,무작위 일치,Coincidencias aleatorias
CUSTOM_RUN_OPTION_CHOOSE,Player chooses,玩家选择,Le joueur choisit,プレイヤーが選択,플레이어 선택,El jugador elige
CUSTOM_RUN_OPTION_EQUAL,=,=,=,=,=,=
CUSTOM_RUN_OPTION_NOT_EQUAL,!=,!=,!=,!=,!=,!=
CUSTOM_RUN_OPTION_LESS,<,<,<,<,<,<
CUSTOM_RUN_OPTION_LESS_OR_EQUAL,<=,<=,<=,<=,<=,<=
CUSTOM_RUN_OPTION_GREATER,>,>,>,>,>,>
CUSTOM_RUN_OPTION_GREATER_OR_EQUAL,>=,>=,>=,>=,>=,>=
CUSTOM_RUN_DEFAULT_NAME,New Custom Run,新建自定义游戏,Nouvelle partie personnalisée,新しいカスタムラン,새 커스텀 런,Nueva partida personalizada
CUSTOM_RUN_DEFAULT_ROLE_NAME,Default Role,默认职责,Rôle par défaut,既定の役割,기본 역할,Rol predeterminado
CUSTOM_RUN_NEW_ROLE_NAME,New Role,新职责,Nouveau rôle,新しい役割,새 역할,Nuevo rol
CUSTOM_RUN_MIN_SPACED,    MIN {0},    最少 {0},    MIN. {0},    最小 {0},    최소 {0},    MÍN. {0}
CUSTOM_RUN_ENABLE_MODIFIERS,Enable Modifiers,启用特效,Activer les modificateurs,モディファイアを有効化,변경 요소 활성화,Activar modificadores
CUSTOM_RUN_CATEGORY_EVENTS,Events,事件,Événements,イベント,이벤트,Eventos
CUSTOM_RUN_EVENTS,Events,事件,Événements,イベント,이벤트,Eventos
CUSTOM_RUN_EVENT,Event,事件,Événement,イベント,이벤트,Evento
CUSTOM_RUN_EVENT_TYPE_EVENT,Event,事件,Événement,イベント,이벤트,Evento
CUSTOM_RUN_EVENT_TYPE_ANCIENT,Ancient,先祖事件,Ancien,古代イベント,고대 이벤트,Antiguo
CUSTOM_RUN_COMPONENT_ROOM_ENTERED,Room Entered,进入房间,Entrée dans une salle,部屋に入った,방 입장,Sala iniciada
CUSTOM_RUN_COMPONENT_ROOM_COMPLETED,Room Completed,完成房间,Salle terminée,部屋を完了,방 완료,Sala completada
CUSTOM_RUN_COMPONENT_EVENT_ENTERED,Event Entered,进入事件,Entrée dans un événement,イベントに入った,이벤트 입장,Evento iniciado
CUSTOM_RUN_COMPONENT_EVENT_MATCHES,Event Matches,事件匹配,L'événement correspond,イベントが一致,이벤트 일치,El evento coincide
CUSTOM_RUN_COMPONENT_ADD_CARDS_TO_HAND,Add Cards To Hand From Matcher,从匹配器将卡牌加入手牌,Ajouter à la main les cartes correspondantes,一致するカードを手札に加える,일치하는 카드를 손패에 추가,Añadir cartas coincidentes a la mano
CUSTOM_RUN_COMPONENT_SET_PLAYER_DAMAGE_MULTIPLIER,Set Player Damage Multiplier,设置玩家伤害倍率,Définir le multiplicateur de dégâts du joueur,プレイヤーのダメージ倍率を設定,플레이어 피해 배율 설정,Definir multiplicador de daño del jugador
CUSTOM_RUN_COMPONENT_SET_MONSTER_DAMAGE_MULTIPLIER,Set Monster Damage Multiplier,设置怪物伤害倍率,Définir le multiplicateur de dégâts des monstres,モンスターのダメージ倍率を設定,몬스터 피해 배율 설정,Definir multiplicador de daño de monstruos
CUSTOM_RUN_COMPONENT_ENTER_EVENT,Enter Event Now,立即进入事件,Entrer dans l'événement maintenant,今すぐイベントに入る,지금 이벤트 입장,Entrar al evento ahora
CUSTOM_RUN_COMPONENT_SET_NEXT_EVENT,Set Next Event,设置下一个事件,Définir le prochain événement,次のイベントを設定,다음 이벤트 설정,Definir próximo evento
CUSTOM_RUN_PARAMETER_EVENT,Event,事件,Événement,イベント,이벤트,Evento
CUSTOM_RUN_PARAMETER_EVENT_MATCHER,Event matcher,事件匹配器,Filtre d'événements,イベント照合,이벤트 일치 조건,Filtro de eventos
CUSTOM_RUN_PARAMETER_NUMBER_TO_SELECT,Number to select,选择数量,Nombre à sélectionner,選択する数,선택할 수,Número a seleccionar
CUSTOM_RUN_PARAMETER_MAXIMUM_EXECUTIONS,Maximum executions,最大执行次数,Exécutions maximales,最大実行回数,최대 실행 횟수,Ejecuciones máximas
CUSTOM_RUN_LEGACY_COMPONENT,  (legacy),  （旧版）,  (hérité),  （旧式）,  (레거시),  (heredado)
CUSTOM_RUN_CHOICE_TIMED_OUT,Loadout Custom Run: choice {0} timed out for player {1}.,Loadout 自定义游戏：玩家 {1} 的选择 {0} 已超时。,Partie personnalisée Loadout : le choix {0} a expiré pour le joueur {1}.,Loadout カスタムラン：プレイヤー {1} の選択 {0} がタイムアウトしました。,Loadout 커스텀 런: 플레이어 {1}의 선택 {0} 시간이 초과되었습니다.,Partida personalizada de Loadout: la elección {0} agotó el tiempo para el jugador {1}.
CUSTOM_RUN_COMPONENT_ADD_CARDS_TO_DRAW_PILE,Add Cards To Draw Pile From Matcher,从匹配器将卡牌加入抽牌堆,Ajouter à la pioche les cartes correspondantes,一致するカードを山札に加える,일치하는 카드를 뽑기 더미에 추가,Añadir cartas coincidentes a la pila de robo
CUSTOM_RUN_COMPONENT_ADD_CARDS_TO_DISCARD_PILE,Add Cards To Discard Pile From Matcher,从匹配器将卡牌加入弃牌堆,Ajouter à la défausse les cartes correspondantes,一致するカードを捨て札に加える,일치하는 카드를 버린 카드 더미에 추가,Añadir cartas coincidentes a la pila de descarte
CUSTOM_RUN_COMPONENT_MODIFY_VARIABLE,Modify Variable,修改变量,Modifier la variable,変数を変更,변수 수정,Modificar variable
CUSTOM_RUN_COMPONENT_SET_BOOLEAN_VARIABLE,Set Boolean Variable,设置布尔变量,Définir la variable booléenne,真偽変数を設定,불리언 변수 설정,Establecer variable booleana
CUSTOM_RUN_COMPONENT_MODIFY_PLAYER_DAMAGE_MULTIPLIER,Modify Player Damage Multiplier,修改玩家伤害倍率,Modifier le multiplicateur de dégâts du joueur,プレイヤーのダメージ倍率を変更,플레이어 피해 배율 수정,Modificar multiplicador de daño del jugador
CUSTOM_RUN_COMPONENT_MODIFY_MONSTER_DAMAGE_MULTIPLIER,Modify Monster Damage Multiplier,修改怪物伤害倍率,Modifier le multiplicateur de dégâts des monstres,モンスターのダメージ倍率を変更,몬스터 피해 배율 수정,Modificar multiplicador de daño de monstruos
CUSTOM_RUN_PARAMETER_OPERATION,Operation,运算,Opération,演算,연산,Operación
CUSTOM_RUN_OPTION_SET,Set value to,设为,Définir sur,値を設定,값 설정,Establecer en
CUSTOM_RUN_OPTION_ADD,Add,加,Ajouter,加算,더하기,Sumar
CUSTOM_RUN_OPTION_SUBTRACT,Subtract,减,Soustraire,減算,빼기,Restar
CUSTOM_RUN_OPTION_MULTIPLY,Multiply by,乘以,Multiplier par,乗算,곱하기,Multiplicar por
CUSTOM_RUN_OPTION_DIVIDE,Divide by,除以,Diviser par,除算,나누기,Dividir por
CUSTOM_RUN_CREATE_NEW_VARIABLE,+ Create new variable...,+ 新建变量……,+ Créer une variable...,＋ 新しい変数を作成…,+ 새 변수 만들기...,+ Crear una variable...
CUSTOM_RUN_CREATE_VARIABLE,Create Variable,新建变量,Créer une variable,変数を作成,변수 만들기,Crear variable
CUSTOM_RUN_VARIABLE_NAME,Variable Name,变量名称,Nom de la variable,変数名,변수 이름,Nombre de variable
CUSTOM_RUN_SCOPE_TURN,Turn,回合,Tour,ターン,턴,Turno
CUSTOM_RUN_SCOPE_ROLE,Role,职责,Rôle,ロール,역할,Rol
CUSTOM_RUN_SCOPE_RULE,Rule,规则,Règle,ルール,규칙,Regla
